"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"2015-Jan","01/05","2.671","01/12","2.594","01/19","2.484","01/26","2.440","",""
"2015-Feb","02/02","2.441","02/09","2.627","02/16","2.798","02/23","2.959","",""
"2015-Mar","03/02","3.418","03/09","3.439","03/16","3.356","03/23","3.267","03/30","3.209"
"2015-Apr","04/06","3.147","04/13","3.102","04/20","3.158","04/27","3.433","",""
"2015-May","05/04","3.711","05/11","3.732","05/18","3.807","05/25","3.757","",""
"2015-Jun","06/01","3.693","06/08","3.591","06/15","3.511","06/22","3.480","06/29","3.450"
"2015-Jul","07/06","3.432","07/13","3.880","07/20","3.897","07/27","3.812","",""
"2015-Aug","08/03","3.724","08/10","3.565","08/17","3.584","08/24","3.483","08/31","3.342"
"2015-Sep","09/07","3.266","09/14","3.155","09/21","3.072","09/28","2.994","",""
"2015-Oct","10/05","2.949","10/12","2.914","10/19","2.861","10/26","2.847","",""
"2015-Nov","11/02","2.817","11/09","2.824","11/16","2.780","11/23","2.716","11/30","2.691"
"2015-Dec","12/07","2.679","12/14","2.654","12/21","2.736","12/28","2.825","",""
